dataset,owner,theme,subcategory,npf_theme,planning_role,priority,source,description,legislation,publication_date,frequency,last_updated,links,ssdi,publication_format,download_link,webmap_app,note,number_layers,data_format,geometry_format,geometric_quality,attribute_completenes,total_attributes,mandatory_att_reqd,mandatory_att_actual,time_series,date,address,uprn,url,unique_id,linking_referencing
Land Capability for Agriculture ,James Hutton Institute,Agriculture,Agriculture _ Agriculture,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Area Office Boundaries (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,16 Agricultural Area Offices provide local support for agricultural issues. This information then feeds into Agricultural Headquarters in Edinburgh. more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Agricultural Parishes (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,Agricultural parishes are based on Civil Parishes which were abolished as an administrative unit in Scotland in 1975. Agricultural parishes continue to be used for boundary and statistical purposes. There are 891 agricultural parishes in... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Animal Health Regions (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,These are the 5 animal health regions in Scotland. These are part of State Veterinary Service who are an executive agency responsible for delivering agreed services in public health and animal health and welfare within... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Fragile Land (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,The fragile area dataset was digitised in 1998 on behalf of the Agriculture Department. There is no defintion of 'fragile' land for the context of this dataset. A fragility index has been applied to the... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Less Favoured Areas (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,"In recognition of the different physical and socio-economic characteristics across the regions, the European Union introduced the Less Favoured Area (LFA) designation to support farming where production conditions are difficult. The criteria for LFA designation... more...",,,,,,1,,,,,,,,,,,,,,,,,,,
Nitrate Vulnerable Zones (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,Nitrate Vulnerable Zones (NVZs) are areas within Scotland that contain surface water or groundwater that is susceptible to nitrate pollution from agricultural activities. They are designated in accordance with the requirements of the European Commision's... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Prime Agricultural Land (Related dataset),Scottish Government,Agriculture,Agriculture _ Agriculture,,,,External,This dataset comes from an amalgamation of classes 1 and 2 of the MLURI Land capability classificaton. LCA Class 1 - Land capable of producing a very wide range of crops LCA Class 2 -... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Special Areas of Hill Land (Related dataset),Scottish Government,Agriculture,Agriculture _ Land Cover,,,,External,The areas the boundaries show relate to specially identified areas for hill farming. more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Water Regulation Zones (Related dataset),Scottish Government,Agriculture,Agriculture _ Area Management,,,,External,Water Supply Zones represent the extend of the area supplied by Scotland's water authority (Scottish Water). These zones represent the extent of the drinking water supply in a given area. The dataset is created new... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Scottish Air Quality,Ricardo Energy and Environment,Air Quality,Air Quality _ Air Quality,,,,External,,,,,,http://www.scottishairquality.scot/data/,,,,,,,,,,,,,,,,,,,,
Aquaculture Disease Management Areas,Marine Scotland,Aquaculture,Aquaculture _ Aquaculture,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairngorms National Park Designated Boundary (Related dataset),Scottish Government,Country Regional and National Parks,Country Regional and National Parks _ Country Regional and National Parks,,,,External,"The Cairngorms National Park was established in March 2003 under The Cairngorms National Park Designation, Transitional and Consequential Provisions (Scotland) Order 2003. The boundary was extended as part of the Cairngorms National Park Designation, Transitinal... more...",,,,,,1,,,,,,,,,,,,,,,,,,,
Loch Lomond and The Trossachs National Park Designated Boundary (Related dataset),Scottish Government,Country Regional and National Parks,Country Regional and National Parks _ Country Regional and National Parks,,,,External,"The Loch Lomond and The Trossachs National Park was established in July 2002 under The Loch Lomond and The Trossachs National Park Designation, Transitional and Consequential Provisions (Scotland) Order 2002. In the designation Order, the... more...",,,,,,1,,,,,,,,,,,,,,,,,,,
Country Parks (Scotland) (Related dataset),Scottish Natural Heritage,Country Regional and National Parks,Country Regional and National Parks _ Country Regional and National Parks,,,,External,Parks are set up by Local Authorities to provide open-air recreation facilities close to towns and cities. All the parks have a rural character and are managed primarily for informal recreation. Some have nature reserve... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Land Cover Scotland (LCS) 1988 (Related dataset),Scottish Government,Countryside and Coastal,Countryside and Coastal _ Countryside,,,,External,Land Cover Scotland (LCS) 1988 was the first ever national (air-photo) census of land cover in Scotland to describe the principal features and characteristics of the countryside. It was produced by The Macaulay Land Use... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Coastal classifications,SEPA,Countryside and Coastal,Countryside and Coastal _ Coastal,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Coastal data,SEPA,Countryside and Coastal,Countryside and Coastal _ Coastal,,,,External,Could identify area at LDP scale that may be at risk of coastal erosion and require further investigation. ,,,,,,,,,,,,,,,,,,,,,,,,,
Estuaries classifications ,SEPA,Countryside and Coastal,Countryside and Coastal _ Coastal,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
National Susceptibility to Erosion maps,SEPA,Countryside and Coastal,Countryside and Coastal _ Coastal,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Life expectancy,,Demographic,Demographic _ Life expectancy,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Migration,,Demographic,Demographic _ Migration,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Age,,Demographic,Demographic _ Population Age,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Change,,Demographic,Demographic _ Population Change,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Data,,Demographic,Demographic _ Population Data,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Estimates,,Demographic,Demographic _ Population Estimates,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Modelling,,Demographic,Demographic _ Population Modelling,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Profile,,Demographic,Demographic _ Population Profile,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Projections,,Demographic,Demographic _ Population Projections,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Population Trends,,Demographic,Demographic _ Population Trends,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Projected Population Change,,Demographic,Demographic _ Projected Population Change,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Projected Population Change by Age Group,,Demographic,Demographic _ Projected Population Change by Age Group,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Rural Poverty,,Demographic,Demographic _ Rural Poverty,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
Small Area Population Estimates,,Demographic,Demographic _ Small Area Population Estimates,,"NPF4,DP",,External,"Demographic data is published centrally by Scottish Government and other agencies - SNS, SIMD, Census, NRS.",,,,,,,,,,,,,,,,,,,,,,,,,
European Union - poverty and income inequality data,European Commission,Demographic,Demographic _ Demographic,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurostat,European Commission,Demographic,Demographic _ Demographic,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Census,National Records of Scotland,Demographic,Demographic _ Demographic,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Household estimates,National Records of Scotland,Demographic,Demographic _ Demographic,,,,External,"Estimates of the number of households and dwellings in Scotland, including occupied and vacant dwellings, second homes and trends in household types.",,,,,,,,,,,,,,,,,,,,,,,,,
Household projections,National Records of Scotland,Demographic,Demographic _ Demographic,,,,External,"Projections of the number of households in each local authority area, strategic development plan area and national park in Scotland, by household type and age group.",,,,,,,,,,,,,,,,,,,,,,,,,
Life expectancy,National Records of Scotland,Demographic,Demographic _ Life expectancy,,,,External,,,,,,https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-a-z,,,,,,,,,,,,,,,,,,,,
Migration,National Records of Scotland,Demographic,Demographic _ Migration,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Age,National Records of Scotland,Demographic,Demographic _ Population Age,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Change,National Records of Scotland,Demographic,Demographic _ Population Change,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Data,National Records of Scotland,Demographic,Demographic _ Population Data,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Estimates,National Records of Scotland,Demographic,Demographic _ Population Estimates,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Modelling,National Records of Scotland,Demographic,Demographic _ Population Modelling,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Profile,National Records of Scotland,Demographic,Demographic _ Population Profile,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Projections,National Records of Scotland,Demographic,Demographic _ Population Projections,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Trends,National Records of Scotland,Demographic,Demographic _ Population Trends,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Projected Population Change,National Records of Scotland,Demographic,Demographic _ Projected Population Change,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Projected Population Change by Age Group,National Records of Scotland,Demographic,Demographic _ Projected Population Change by Age Group,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural Poverty,National Records of Scotland,Demographic,Demographic _ Rural Poverty,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Area Population Estimates,National Records of Scotland,Demographic,Demographic _ Small Area Population Estimates,,,,External,,,,,,,,,,,,,,,,,,,,,,,,,,
Families and households,Office for National Statistics,Demographic,Demographic _ Demographic,,,,External,"Trends in living arrangements including families (with and without dependent children), people living alone and people in shared accommodation, broken down by size and type of household.",,,,,,,,,,,,,,,,,,,,,,,,,
"Index of Private Housing Rental Prices, UK Statistical bulletins",Office for National Statistics,Demographic,Demographic _ Demographic,,,,External,An experimental price index tracking the prices paid for renting property from private landlords in the UK.,,,,,,,,,,,,,,,,,,,,,,,,,
Office for National Statistics - Population survey,Office for National Statistics,Demographic,Demographic _ Demographic,,,,External,,,,,,https://www.ons.gov.uk/,,,,,,,,,,,,,,,,,,,,
Data Zone Boundaries 2001 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,Data zones are the core geography for dissemination of results from Scottish Neighbourhood Statistics (SNS). The data zone geography covers the whole of Scotland and nests within local authority boundaries. Data zones are groups of... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Data Zone Boundaries 2011 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,Data zone centroids are point features that represent the population weighted centre of data zones - the core geography used for the dissemination of results from Scottish Neighbourhood Statistics (SNS). Centroids were calculated from a... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Data Zone Centroids 2001 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,,,,,,,1,,,,,,,,,,,,,,,,,,,
Data Zone Centroids 2011 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,Data zone centroids are point features that represent the population weighted centre of data zones – the key geography for the dissemination of small area statistics in Scotland. These centroids are used to link data... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
Intermediate Zone Boundaries 2001 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,"Intermediate zones are a statistical geography that sit between data zones and local authorities, created for use with the Scottish Neighbourhood Statistics (SNS) programme. Intermediate zones are used for the dissemination of statistics that are... more...",,,,,,1,,,,,,,,,,,,,,,,,,,
Intermediate Zone Boundaries 2011 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,"Intermediate zones are a statistical geography that sit between data zones and local authorities, created for use with the Scottish Neighbourhood Statistics (SNS) programme and the wider public sector. Intermediate zones are used for the... more...",,,,,,1,,,,,,,,,,,,,,,,,,,
Intermediate Zone Centroids 2001 (Related dataset),Scottish Government,Demographic,Demographic _ Demographic,,,,External,Intermediate zone centroids are point features that represent the population weighted centre of intermediate zones - the geography used for the dissemination of results from Scottish Neighbourhood Statistics (SNS) that unsuitable for release at data... more...,,,,,,1,,,,,,,,,,,,,,,,,,,
